State,County,County,State Profile,Jurisdiction Profile (R/B/M),County Profile,State Social Distancing Policy,state abbreviation,Pre-COVID Jail Population,Change,Percentage Change,Jail Incarceration Rate Per 100K,International Benchmark,Rate Reduction to Match Internatonal Norms,Add'l Jail Reduction to Match Pre-COVID Intn'l Avg,Jail rate is X time norm,Target Jail Population,Date of covid data,Jail Population (Latest),Resident population,Cases Per 100K Residents,COVID-19 Cases,Deaths Per 100K Residents,COVID-19 Deaths
Florida,"Nassau, FL",Nassau,5,M,0.7592975207,,FL,247,-75,-0.303643725,194.0762,35,-159.076,-140.981,5.545033,31.01875,4/9/2020,172,88625,36,32,0,0
Florida,"Okaloosa, FL",Okaloosa,5,R,0.751317176,,FL,679,-144,-0.212076583,253.8697,35,-218.87,-461.242,7.253421,73.7583,4/9/2020,535,210738,39,82,1,1
Florida,"Putnam, FL",Putnam,5,R,0.6878850103,,FL,330,-78,-0.236363636,338.1597,35,-303.16,-225.918,9.661706,26.08235,4/9/2020,252,74521,34,25,1,1
Florida,"Santa Rosa, FL",Santa Rosa,5,M,0.780104712,,FL,687,-174,-0.253275109,278.3309,35,-243.331,-448.49,7.952311,64.50955,4/9/2020,513,184313,52,96,1,2
Florida,"St. Johns, FL",St. Johns,5,R,0.6728778468,,FL,397,-22,-0.055415617,141.6848,35,-106.685,-282.365,4.048137,92.6352,4/9/2020,375,264672,62,163,1,2
Florida,"Sumter, FL",Sumter,5,R,0.6998982706,,FL,432,-62,-0.143518519,279.414,35,-244.414,-323.653,7.983257,46.347,4/9/2020,370,132420,76,100,5,7
Florida,"Suwannee, FL",Suwannee,5,R,0.7830092119,,FL,157,-16,-0.101910828,317.446,35,-282.446,-125.454,9.069886,15.54595,4/9/2020,141,44417,122,54,0,0
Florida,"Taylor, FL",Taylor,5,M,0.7627811861,,FL,126,-53,-0.420634921,338.4487,35,-303.449,-65.4509,9.669963,7.54915,4/9/2020,73,21569,5,1,0,0
Florida,"Walton, FL",Walton,5,M,0.7896907216,,FL,443,-53,-0.119638826,526.5219,35,-491.522,-364.075,15.04348,25.92485,4/9/2020,390,74071,35,26,0,0
Georgia,"Bartow, GA",Bartow,12,R,0.7845360825,,GA,680,-182,-0.267647059,462.2325,35,-427.232,-460.292,13.20664,37.7083,4/9/2020,498,107738,188,203,14,15
Georgia,"Camden, GA",Camden,12,R,0.6752843847,,GA,132,-44,-0.333333333,160.9776,35,-125.978,-68.8669,4.599359,19.1331,4/9/2020,88,54666,35,19,0,0
Georgia,"Columbia, GA",Columbia,12,R,0.6953367876,,GA,280,-65,-0.232142857,137.1926,35,-102.193,-160.15,3.919788,54.8499,4/9/2020,215,156714,37,58,0,0
Georgia,"Coweta, GA",Coweta,12,R,0.7196261682,,GA,364,-108,-0.296703297,172.3801,35,-137.38,-204.022,4.925146,51.97815,4/9/2020,256,148509,59,87,1,2
Georgia,"Dougherty, GA",Dougherty,12,B,0.3052738337,,GA,588,-187,-0.318027211,455.9098,35,-420.91,-370.215,13.02599,30.7846,4/9/2020,401,87956,1185,1042,75,66
Georgia,"Douglas, GA",Douglas,12,R,0.4444444444,,GA,666,-222,-0.333333333,303.3968,35,-268.397,-392.78,8.66848,51.22005,4/9/2020,444,146343,92,134,3,5
Georgia,"Floyd, GA",Floyd,12,M,0.7252066116,,GA,642,-223,-0.347352025,425.3893,35,-390.389,-384.526,12.15398,34.4743,4/9/2020,419,98498,102,100,5,5
Georgia,"Lumpkin, GA",Lumpkin,12,R,0.8125,,GA,152,-71,-0.467105263,240.9997,35,-206,-69.2365,6.885706,11.7635,4/9/2020,81,33610,27,9,0,0
Illinois,"Cook, IL",Cook,-13,B,0.2233820459,,IL,5555,-1120,-0.201620162,86.11261,35,-51.1126,-2632.42,2.46036,1802.582,4/9/2020,4435,5150233,222,11415,7,351
Illinois,"Kankakee, IL",Kankakee,-13,M,0.5703703704,,IL,313,-48,-0.153354633,241.2117,35,-206.212,-226.548,6.891763,38.4517,4/9/2020,265,109862,142,156,6,7
Illinois,"Will, IL",Will,-13,M,0.470464135,,IL,696,-114,-0.163793103,84.2571,35,-49.2571,-340.24,2.407346,241.7601,4/9/2020,582,690743,147,1012,7,46
Indiana,"Boone, IN",Boone,18,R,0.6584317938,,IN,171,-57,-0.333333333,168.035,35,-133.035,-90.255,4.801001,23.74505,4/9/2020,114,67843,124,84,3,2
Indiana,"Clinton, IN",Clinton,18,R,0.751572327,,IN,147,-25,-0.170068027,376.5548,35,-341.555,-110.66,10.75871,11.33965,4/9/2020,122,32399,31,10,3,1
Indiana,"Dubois, IN",Dubois,18,B,0.7123142251,,IN,76,-2,-0.026315789,173.1561,35,-138.156,-59.0424,4.947318,14.9576,4/9/2020,74,42736,23,10,0,0
Indiana,"Hancock, IN",Hancock,18,B,0.7377919321,,IN,292,-105,-0.359589041,239.2283,35,-204.228,-159.641,6.835095,27.3588,4/9/2020,187,78168,128,100,3,2
Indiana,"Hendricks, IN",Hendricks,18,M,0.6815286624,,IN,253,-90,-0.355731225,95.70726,35,-60.7073,-103.391,2.734493,59.60885,4/9/2020,163,170311,150,256,5,8
Indiana,"Howard, IN",Howard,18,R,0.6786090622,,IN,447,-79,-0.176733781,445.8228,35,-410.823,-339.11,12.7378,28.8904,4/9/2020,368,82544,51,42,5,4
Indiana,"Jackson, IN",Jackson,18,R,0.7699579832,,IN,252,-93,-0.369047619,359.4764,35,-324.476,-143.519,10.27075,15.48085,4/9/2020,159,44231,120,53,0,0
Indiana,"Knox, IN",Knox,18,R,0.7455683003,,IN,194,-32,-0.164948454,442.6955,35,-407.696,-149.192,12.64844,12.8079,4/9/2020,162,36594,27,10,0,0
Indiana,"LaPorte, IN",LaPorte,18,B,0.5338983051,,IN,331,-67,-0.202416918,240.2446,35,-205.245,-225.539,6.864132,38.4608,4/9/2020,264,109888,27,30,3,3
Indiana,"Marion, IN",Marion,18,R,0.38,,IN,1987,-684,-0.344237544,135.0844,35,-100.084,-965.396,3.859555,337.6037,4/9/2020,1303,964582,250,2415,8,81
Indiana,"Pulaski, IN",Pulaski,18,M,0.7439664218,,IN,88,10,0.113636364,793.3296,35,-758.33,-93.6765,22.66656,4.32355,4/9/2020,98,12353,8,1,0,0
Indiana,"Scott, IN",Scott,18,R,0.6964656965,,IN,187,-72,-0.385026738,481.7157,35,-446.716,-106.644,13.76331,8.35555,4/9/2020,115,23873,50,12,8,2
Indiana,"Shelby, IN",Shelby,18,M,0.7494714588,,IN,175,-45,-0.257142857,290.6392,35,-255.639,-114.345,8.303977,15.65515,4/9/2020,130,44729,136,61,5,2
Indiana,"Starke, IN",Starke,18,M,0.71875,,IN,120,-23,-0.191666667,421.8308,35,-386.831,-88.9518,12.05231,8.04825,4/9/2020,97,22995,26,6,0,0
Indiana,"Vigo, IN",Vigo,18,B,0.5794979079,,IN,294,-34,-0.115646259,242.9044,35,-207.904,-222.537,6.940125,37.4633,4/9/2020,260,107038,34,36,2,2
Indiana,"Washington, IN",Washington,18,R,0.7565308255,,IN,127,4,0.031496063,467.2564,35,-432.256,-121.187,13.35018,9.8126,4/9/2020,131,28036,82,23,0,0
Indiana,"Whitley, IN",Whitley,18,R,0.77028451,,IN,190,-107,-0.563157895,244.3764,35,-209.376,-71.1126,6.982183,11.8874,4/9/2020,83,33964,24,8,3,1
Kansas,"Cherokee, KS",Cherokee,23,R,0.7542016807,,KS,85,-54,-0.635294118,155.4742,35,-120.474,-24.0214,4.44212,6.97865,4/9/2020,31,19939,25,5,0,0
Kansas,"Crawford, KS",Crawford,23,R,0.6235294118,,KS,104,-44,-0.423076923,154.5675,35,-119.567,-46.4137,4.416213,13.5863,4/9/2020,60,38818,16,6,3,1
Kansas,"Jefferson, KS",Jefferson,23,R,0.6727467811,,KS,22,1,0.045454545,120.7793,35,-85.7793,-16.335,3.450837,6.66505,4/9/2020,23,19043,26,5,0,0
Kansas,"Pratt, KS",Pratt,23,R,0.7875185736,,KS,21,-13,-0.619047619,87.29812,35,-52.2981,-4.7926,2.494232,3.2074,4/9/2020,8,9164,11,1,0,0
Kentucky,"Adair, KY",Adair,23,R,0.8335056877,,KY,111,-34,-0.306306306,400.9999,35,-366,-70.2793,11.45714,6.7207,4/9/2020,77,19202,47,9,5,1
Kentucky,"Allen, KY",Allen,23,M,0.8271221532,,KY,75,-45,-0.6,140.746,35,-105.746,-22.5398,4.021313,7.46025,4/9/2020,30,21315,19,4,0,0
Kentucky,"Ballard, KY",Ballard,23,M,0.7948453608,,KY,73,-16,-0.219178082,722.6166,35,-687.617,-54.2392,20.64619,2.7608,4/9/2020,57,7888,13,1,0,0
Kentucky,"Barren, KY",Barren,23,M,0.759375,,KY,228,-82,-0.359649123,329.951,35,-294.951,-130.513,9.42717,15.48715,4/9/2020,146,44249,7,3,0,0
Kentucky,"Boone, KY",Boone,23,M,0.7223404255,,KY,458,-59,-0.128820961,298.6952,35,-263.695,-352.247,8.534148,46.75335,4/9/2020,399,133581,34,46,1,1
Kentucky,"Bourbon, KY",Bourbon,23,R,0.6663157895,,KY,242,-70,-0.289256198,869.2137,35,-834.214,-165.074,24.83468,6.9258,4/9/2020,172,19788,20,4,5,1
Kentucky,"Boyd, KY",Boyd,23,M,0.6931106472,,KY,316,-96,-0.303797468,470.9106,35,-435.911,-203.649,13.45459,16.3513,4/9/2020,220,46718,47,22,4,2
Kentucky,"Boyle, KY",Boyle,23,R,0.6523109244,,KY,272,-112,-0.411764706,532.2688,35,-497.269,-149.479,15.20768,10.521,4/9/2020,160,30060,43,13,0,0
Kentucky,"Breckinridge, KY",Breckinridge,23,R,0.7681912682,,KY,203,-26,-0.128078818,864.3844,35,-829.384,-169.833,24.6967,7.16695,4/9/2020,177,20477,15,3,0,0
Kentucky,"Bullitt, KY",Bullitt,23,M,0.760460251,,KY,295,-105,-0.355932203,232.6265,35,-197.626,-161.413,6.646471,28.5866,4/9/2020,190,81676,26,21,2,2
