State,CountyState,County,State_Profile,Jurisdiction_Profile,County_Profile,Stay_at_home_date,Stay_at_home,Business_Closures,State_Abbrev,PreCovid_Jail_Pop,Change_Pop,Percent_Change,Incarceration_Per_100K,International_Benchmark,Rate_Reduction_Match_Itnl_Norms,Add_Jail_to_Match_Pre-COVID_Intl_Avg,Jail_rate_is_X_time_norm,Target_Jail_Population,Date_Covid_Data,Jail_Population_Latest,Resident_population,Cases_Per_100K_Residents,COVID-19_Cases,Deaths_Per_100K_Residents,COVID-19_Deaths
Arkansas,"Cross, Arkansas",Cross,0.6411889597,M,0.6962421712,,No,None,AR,67,-21,-0.313432836,280.1632,35,-245.163,-40.2534,8.004664,5.74665,4/9/2020,46,16419,37,6,0,0
Arkansas,"Faulkner, Arkansas",Faulkner,0.6411889597,R,0.6673866091,,No,None,AR,466,-255,-0.5472103,167.451,35,-132.451,-166.898,4.784315,44.10245,4/9/2020,211,126007,44,56,1,1
Arkansas,"Hempstead, Arkansas",Hempstead,0.6411889597,M,0.6496881497,,No,None,AR,67,-31,-0.462686567,167.193,35,-132.193,-28.4638,4.776943,7.5362,4/9/2020,36,21532,14,3,5,1
Arkansas,"Jefferson, Arkansas",Jefferson,0.6411889597,B,0.6304347826,,No,None,AR,358,-134,-0.374301676,335.2089,35,-300.209,-200.612,9.577397,23.3884,4/9/2020,224,66824,136,91,2,1
Arkansas,"Lonoke, Arkansas",Lonoke,0.6411889597,R,0.7790697674,,No,None,AR,290,-54,-0.186206897,321.925,35,-286.925,-210.342,9.197857,25.65815,4/9/2020,236,73309,36,26,0,0
Arkansas,"Monroe, Arkansas",Monroe,0.6411889597,B,0.5190525232,,No,None,AR,13,-8,-0.615384615,74.61573,35,-39.6157,-2.65465,2.131878,2.34535,4/9/2020,5,6701,15,1,0,0
Arkansas,"Poinsett, Arkansas",Poinsett,0.6411889597,M,0.6267232238,,No,None,AR,88,-54,-0.613636364,144.5087,35,-109.509,-25.7652,4.128819,8.2348,4/9/2020,34,23528,26,6,0,0
Arkansas,"Saline, Arkansas",Saline,0.6411889597,R,0.7301927195,,No,None,AR,240,-76,-0.316666667,133.9464,35,-98.9464,-121.147,3.827041,42.85295,4/9/2020,164,122437,25,31,1,1
Arkansas,"Stone, Arkansas",Stone,0.6411889597,M,0.7740232313,,No,None,AR,46,-17,-0.369565217,231.8887,35,-196.889,-24.6229,6.625391,4.3771,4/9/2020,29,12506,56,7,0,0
Arkansas,"Van Buren, Arkansas",Van Buren,0.6411889597,M,0.7769784173,,No,None,AR,85,-45,-0.529411765,241.7649,35,-206.765,-34.2093,6.907568,5.79075,4/9/2020,40,16545,157,26,6,1
Arkansas,"St. Francis, Arkansas",St. Francis,0.6411889597,R,0.5580678314,,No,None,AR,67,-43,-0.641791045,96.02305,35,-61.023,-15.2521,2.743516,8.7479,4/9/2020,24,24994,124,31,0,0
California,"Alameda, California",Alameda,0.3474576271,B,0.1581740977,3/19/2020 0:00,Yes,AllNonEssential,CA,2556,-618,-0.241784038,115.9556,35,-80.9556,-1353.03,3.313018,584.9652,4/9/2020,1938,1671329,44,734,1,17
California,"El Dorado, California",El Dorado,0.3474576271,R,0.5748116254,3/19/2020 0:00,Yes,AllNonEssential,CA,386,-78,-0.202072539,159.7154,35,-124.715,-240.505,4.563298,67.49505,4/9/2020,308,192843,16,30,0,0
California,"Fresno, California",Fresno,0.3474576271,R,0.4769392034,3/19/2020 0:00,Yes,AllNonEssential,CA,3079,-415,-0.134784021,266.6397,35,-231.64,-2314.31,7.618277,349.6854,4/9/2020,2664,999101,17,173,0,3
California,"Kings, California",Kings,0.3474576271,R,0.5749202976,3/19/2020 0:00,Yes,AllNonEssential,CA,589,-110,-0.186757216,313.1947,35,-278.195,-425.471,8.94842,53.529,4/9/2020,479,152940,5,7,0,0
